Index,time taken,MCES distance,status
0,11.5,6.719233513,4
1,1,1.213052273,1
2,23,0.020418167,4
3,3,0.187155008,1
4,1,0.570744991,1
5,10,0.118257999,2
6,5,0.219920397,1
7,12,0.007930279,4
8,59,0.053141117,4
9,15,0.009060383,4
10,12,0.031040668,4
11,14.5,0.011078119,4
12,16,0.038379192,4
13,18,0.00102663,4
14,4,0.063958406,1
15,24.5,0.03498292,4
16,28,0.051826,4
17,23,0.008410692,4
18,38,0.059101105,4
19,22,0.009884357,4
20,28,0.008885145,4
21,29,0.010287762,4
22,35,0.011689186,4
23,29,0.021939516,4
24,17,0.00706315,4
25,14,0.000996351,4
26,26,0.014333963,4
27,9,0.25486207,1
28,24,0.029742479,4
29,14,0,4
30,17,0.011963367,4
31,23,0.009190083,4
32,12,0.007257223,4
33,22,0.001567841,4
34,9,0.055419445,1
35,10,0.138062954,2
36,12,0.005489826,4
37,40.5,0.023398161,4
38,11,0.010985136,4
39,20,0.016930819,4
40,14,0.006438255,4
41,17,0.00334549,4
42,17,0,4
43,23.5,0.009321928,4
44,31,0.009786606,4
45,11,0.00815773,4
46,24,0.003031254,4
47,12,0.008744001,4
48,17,0.011305809,4
49,25,0.0095644,4
50,23,0,4
51,10,0.071142912,1
52,21,0.010861397,4
53,7,0.076280832,1
54,10,0.207490444,1
55,8,0.136261702,1
56,27.5,0.007253408,4
57,15.5,0.01081419,4
58,20,0.00890255,4
59,37,0.010263681,4
60,6,0.130954027,1
61,10,0.120300293,2
62,10.5,0.009966373,4
63,17,0.019806623,4
64,10,0.07344985,2
65,17,0.023719788,4
66,12,0.009894133,4
67,10,0.221027136,2
68,12,0.030636549,4
69,10,0.146307707,2
70,51,0.047754765,4
71,30,0.04635334,4
72,47,0.068362713,4
73,15,0.005324125,4
74,10,0.127558947,2
75,10,0.192050219,1
76,16,0.043589592,4
77,24,0.023064137,4
78,23.5,0.016922712,4
79,14.5,0.012641191,4
80,67,0.019327164,4
81,33.5,0.009896278,4
82,16.5,0,4
83,25,0.00964427,4
84,18,0.011405706,4
85,10,0.417152405,2
86,38,0.01193285,4
87,30,0.009978294,4
88,16,0.001029968,4
89,30,0.009778738,4
90,25,0.008247852,4
91,19,0.011459112,4
92,23,0,4
93,23,0.020030975,4
94,15,0.008351326,4
95,17,0.025858164,4
96,20,0.007007122,4
97,38,0.024908066,4
98,27,0.014136314,4
99,29,0,4
100,10,0.376851559,1
101,10,0.162780285,2
102,36,0.019448042,4
103,46.5,0.039889574,4
104,29,0.019006968,4
105,10,0.711586237,2
106,28,0.060859919,4
107,12,0.036825418,4
108,5,0.85939455,1
109,25,0.021351099,4
110,22,0.032248974,4
111,24,0.020849705,4
112,24,0.017869711,4
113,19,0.009702921,4
114,2,1.004406929,1
115,23,0.019030571,4
116,10,1.037429094,2
117,15,0.040932894,4
118,3,0.081394672,1
119,24,0.008293629,4
120,25,0.019937992,4
121,3,0.676958561,1
122,4,0.203073263,1
123,12,0.080775976,4
124,10,0.212841511,2
125,20,0.025686979,4
126,23,0.037815571,4
127,24,0.030797005,4
128,27,0.021752357,4
129,30,0.019108295,4
130,10,1.589174032,1
