0,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCC(C)C,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C
1,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)C
2,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCC[C@H](O)[C@@H](O)C\C=C/CCCCC,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)[C@@H](O)CC1=O
3,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C=C\CCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,[H][C@@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC
4,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC
5,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C,[H]C(O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C
6,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC
7,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCCC,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C
8,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC
9,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C,[H][C@](O)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCC)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
