pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal,exact_distance
1879,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,723.177,723.177,2.27E-13,22.51970029,20.71382737,4,1,0,1,1,10,"(0, 3.99999999999941, 20.71382737159729, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0,0,0,0,0,4
3585,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C,793.312,793.312,1.14E-13,6.244931698,4.968979359,4,1,0,1,1,10,"(0, 3.9999999999988765, 4.968979358673096, 1, 1, 10, 2.0, 0, 4.0, 2.0, 0)",,exact,1,0,2,0,4,2,0,4
3623,CC[C@H](O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCC(C)C,CC1OC(CC(C1OS(C)(=O)=O)N1CC1)OC1CC(O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=CC=CC=C1C3=O)C(C)=O,602.897,601.63,1.267,1.241660595,0.00199461,25,2,0,0,0,10,"(0, 25.0, 0.001994609832763672, 2, 0, 10, 25.0, None, None, None, 0.0)",,lower_bound,0,1,25,,,,0,44
7864,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@@H](O)CO)OC(=O)CCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,764.931,765.258,0.327,1.163151026,0.001982689,20,2,0,0,0,10,"(0, 20.0, 0.0019826889038085938, 2, 0, 10, 20.0, None, None, None, 0.0)",,lower_bound,0,1,20,,,,0,27
8016,CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@H](COC(=O)CCC\C=C/C[C@H]1C=CC(=O)[C@@H]1\C=C\[C@@H](O)CCCCC)COP(O)(=O)OCCN,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,792.004,793.312,1.308,1.223915577,0.003023148,17,2,0,0,0,10,"(0, 17.0, 0.0030231475830078125, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17,,,,0,27
18782,[H][C@](CO)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,638.974,638.974,2.27E-13,3.267483234,1.849629879,4,1,0,1,1,10,"(0, 4.0000000000001625, 1.8496298789978027, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0,0,0,0,0,4
28208,CCCCC[C@H](O)\C=C\C=C/C\C=C/C=C/[C@H](O)CCCC(=O)OC[C@H](O)COC(=O)CCCCCCCCCCCCCCC(C)C,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,677.02,677.108,0.088,1.578487873,0.395032406,11,2,0,0,0,10,"(0, 11.0, 0.3950324058532715, 2, 0, 10, 7.0, 0, 11.0, 7.0, 0.0)",,lower_bound,0,1,7,0,11,7,0,14
31479,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC,779.285,779.285,2.27E-13,22.55284047,21.29688811,6,1,0,1,1,10,"(0, 5.999999999999918, 21.29688811302185, 1, 1, 10, 2.0, 0, 4.0, 2.0, 0)",,exact,1,0,2,0,4,2,0,6
31508,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C,624.988,625.032,0.044,10.8215754,9.63225913,7,1,0,1,1,10,"(0, 7.0, 9.632259130477905, 1, 1, 10, 4.0, 0, 3.0, 5.0, 0)",,exact,1,0,4,0,3,5,0,7
31991,COC1=CC(O)=C2C(=O)C(OC3OCC(O)C(O)C3O)=C(OC2=C1)C1=CC(OC2OC(C)C(O)C(O)C2O)=C(O)C=C1,CCCCCCCCCCCC(=O)OC[C@H](O)COC(=O)CCCC(O)C(O)C\C=C/C\C=C/C\C=C/CCCCC,594.522,594.874,0.352,1.1775105,0.002994061,25.5,2,0,0,0,10,"(0, 25.5, 0.002994060516357422, 2, 0, 10, 25.5, None, None, None, 0.0)",,lower_bound,0,1,25.5,,,,0,40.5
