pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal,exact_distance
1879,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,723.177,723.177,2.27E-13,20.39061475,18.81757855,4,1,0,1,1,10,"(0, 3.99999999999941, 18.817578554153442, 1, 1, 10, 0.0, 0.0, 0.0, 0.0, 7.0)",,exact,1,0,0,0,0,0,7,4
3585,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C,793.312,793.312,1.14E-13,8.088469982,6.497240782,4,1,0,1,1,10,"(0, 3.9999999999988765, 6.497240781784058, 1, 1, 10, 2.0, 0.0, 4.0, 2.0, 12.0)",,exact,1,0,2,0,4,2,12,4
3623,CC[C@H](O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCC(C)C,CC1OC(CC(C1OS(C)(=O)=O)N1CC1)OC1CC(O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=CC=CC=C1C3=O)C(C)=O,602.897,601.63,1.267,2.259523392,0.300600529,25,2,0,0,0,10,"(0, 25.0, 0.300600528717041, 2, 0, 10, 25.0, None, None, None, 49.5)",,lower_bound,0,1,25,,,,49.5,44
7864,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@@H](O)CO)OC(=O)CCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,764.931,765.258,0.327,3.011053085,1.093307257,20,2,0,0,0,10,"(0, 20.0, 1.0933072566986084, 2, 0, 10, 20.0, None, None, None, 32.5)",,lower_bound,0,1,20,,,,32.5,27
8016,CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@H](COC(=O)CCC\C=C/C[C@H]1C=CC(=O)[C@@H]1\C=C\[C@@H](O)CCCCC)COP(O)(=O)OCCN,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,792.004,793.312,1.308,3.24782443,1.279577017,17,2,0,0,0,10,"(0, 17.0, 1.2795770168304443, 2, 0, 10, 17.0, None, None, None, 34.5)",,lower_bound,0,1,17,,,,34.5,27
18782,[H][C@](CO)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,638.974,638.974,2.27E-13,5.351440907,3.387158155,4,1,0,1,1,10,"(0, 4.0000000000001625, 3.387158155441284, 1, 1, 10, 0.0, 0.0, 0.0, 0.0, 16.0)",,exact,1,0,0,0,0,0,16,4
28208,CCCCC[C@H](O)\C=C\C=C/C\C=C/C=C/[C@H](O)CCCC(=O)OC[C@H](O)COC(=O)CCCCCCCCCCCCCCC(C)C,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,677.02,677.108,0.088,3.115461111,1.652567863,11,2,0,0,0,10,"(0, 11.0, 1.6525678634643555, 2, 0, 10, 7.0, 5.0, 11.0, 7.0, 26.0)",,lower_bound,0,1,7,5,11,7,26,14
31479,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC,779.285,779.285,2.27E-13,24.0669632,22.58096981,6,1,0,1,1,10,"(0, 5.999999999999918, 22.58096981048584, 1, 1, 10, 2.0, 0.0, 4.0, 2.0, 5.0)",,exact,1,0,2,0,4,2,5,6
31508,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C,624.988,625.032,0.044,10.34305072,8.802584887,7,1,0,1,1,10,"(0, 7.0, 8.802584886550903, 1, 1, 10, 4.0, 2.5, 3.0, 5.0, 9.5)",,exact,1,0,4,2.5,3,5,9.5,7
31991,COC1=CC(O)=C2C(=O)C(OC3OCC(O)C(O)C3O)=C(OC2=C1)C1=CC(OC2OC(C)C(O)C(O)C2O)=C(O)C=C1,CCCCCCCCCCCC(=O)OC[C@H](O)COC(=O)CCCC(O)C(O)C\C=C/C\C=C/C\C=C/CCCCC,594.522,594.874,0.352,1.988763809,0.257485867,25.5,2,0,0,0,10,"(0, 25.5, 0.25748586654663086, 2, 0, 10, 25.5, None, None, None, 42.75)",,lower_bound,0,1,25.5,,,,42.75,40.5
32135,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC)C(O)=O,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/CC(O)\C=C/CC,729.933,730.92,0.987,2.23362565,0.82886672,11,2,0,0,0,10,"(0, 11.0, 0.828866720199585, 2, 0, 10, 11.0, None, None, None, 36.0)",,lower_bound,0,1,11,,,,36,18
33751,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,793.312,793.312,0,39.69791341,38.10859156,6,1,0,1,1,10,"(0, 5.999999999999991, 38.10859155654907, 1, 1, 10, 0.0, 0.0, 0.0, 0.0, 9.0)",,exact,1,0,0,0,0,0,9,6
38430,[H][C@@](COC(=O)CCCCCCC[C@@H](O)[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC,765.963,765.258,0.705,2.665677309,1.064153194,17,2,0,0,0,10,"(0, 17.0, 1.0641531944274902, 2, 0, 10, 17.0, None, None, None, 26.0)",,lower_bound,0,1,17,,,,26,24
38725,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,779.285,779.285,4.55E-13,9.779650927,8.248272181,2,1,0,1,1,10,"(0, 2.000000000000109, 8.248272180557251, 1, 1, 10, 0.0, 0.0, 0.0, 0.0, 3.0)",,exact,1,0,0,0,0,0,3,2
40255,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC(C)C,709.15,709.194,0.044,12.38981247,10.67900443,9,1,0,1,1,10,"(0, 8.99999999999999, 10.679004430770874, 1, 1, 10, 5.0, 2.5, 5.0, 6.0, 7.5)",,exact,1,0,5,2.5,5,6,7.5,9
42470,CCCCC[C@@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@H]1C\C=C/CC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,789.041,789.173,0.132,3.631067038,1.929119349,11.75,2,0,0,0,10,"(0, 11.75, 1.929119348526001, 2, 0, 10, 9.0, 5.5, 11.75, 9.0, 28.5)",,lower_bound,0,1,9,5.5,11.75,9,28.5,11
43219,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCC[C@@H](O)\C=C\C=C/C\C=C/C\C=C/CCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,765.07,765.258,0.188,2.88291049,1.302259684,18,2,0,0,0,10,"(0, 18.0, 1.3022596836090088, 2, 0, 10, 18.0, None, None, None, 39.0)",,lower_bound,0,1,18,,,,39,34
44757,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,765.258,765.258,1.14E-13,57.44662595,55.74872541,6,1,0,1,1,10,"(0, 5.999999999999979, 55.74872541427612, 1, 1, 10, 1.0, 0.0, 2.0, 1.0, 6.0)",,exact,1,0,1,0,2,1,6,8
